SCI_NAME,Species,Sciname,SPECIES_CODE,PRIMARY_COM_NAME,USABLE,LiberEro
Oreothlypis_celata,Orange-crowned Warbler,Oreothlypis celata,orcwar,Orange-crowned_Warbler,,1
Contopus_cooperi,Olive-sided Flycatcher,Contopus cooperi,olsfly,Olive-sided_Flycatcher,,1
Pandion_haliaetus,Osprey,Pandion haliaetus,osprey,Osprey,,0
Seiurus_aurocapilla,Ovenbird,Seiurus aurocapilla,ovenbi1,Ovenbird,,1
Pluvialis_fulva,Pacific Golden-Plover,Pluvialis fulva,pagplo,Pacific_Golden-Plover,MAYBE,0
Passerina_ciris,Painted Bunting,Passerina ciris,paibun,Painted_Bunting,,1
Myioborus_pictus,Painted Redstart,Myioborus pictus,paired,Painted_Redstart,,1
Setophaga_palmarum,Palm Warbler,Setophaga palmarum,palwar,Palm_Warbler,,1
Empidonax_difficilis,Pacific-slope Flycatcher,Empidonax difficilis,pasfly,Pacific-slope_Flycatcher,,1
Calidris_melanotos,Pectoral Sandpiper,Calidris melanotos,pecsan,Pectoral_Sandpiper,,0
Vireo_philadelphicus,Philadelphia Vireo,Vireo philadelphicus,phivir,Philadelphia_Vireo,,1
Setophaga_pinus,Pine Warbler,Setophaga pinus,pinwar,Pine_Warbler,,0
Charadrius_melodus,Piping Plover,Charadrius melodus,pipplo,Piping_Plover,,0
Muscisaxicola_alpinus,Plain-capped Ground-Tyrant,Muscisaxicola alpinus,plcgrt1,Plain-capped_Ground-Tyrant,MAYBE,0
Vireo_plumbeus,Plumbeous Vireo,Vireo plumbeus,plsvir,Plumbeous_Vireo,,1
Setophaga_discolor,Prairie Warbler,Setophaga discolor,prawar,Prairie_Warbler,,1
Protonotaria_citrea,Prothonotary Warbler,Protonotaria citrea,prowar,Prothonotary_Warbler,,1
Muscisaxicola_juninensis,Puna Ground-Tyrant,Muscisaxicola juninensis,pugtyr1,Puna_Ground-Tyrant,MAYBE,0
Progne_subis,Purple Martin,Progne subis,purmar,Purple_Martin,,1
Calidris_maritima,Purple Sandpiper,Calidris maritima,pursan,Purple_Sandpiper,,0
Calidris_canutus,Red Knot,Calidris canutus,redkno,Red_Knot,,0
Phalaropus_fulicarius,Red Phalarope,Phalaropus fulicarius,redpha1,Red_Phalarope,,0
Vireo_olivaceus,Red-eyed Vireo,Vireo olivaceus,reevir,Red-eyed_Vireo,,1
Cardellina_rubrifrons,Red-faced Warbler,Cardellina rubrifrons,refwar,Red-faced_Warbler,,1
Phalaropus_lobatus,Red-necked Phalarope,Phalaropus lobatus,renpha,Red-necked_Phalarope,,0
Agelaius_phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,rewbla,Red-winged_Blackbird,,0
Muscisaxicola_rufivertex,Rufous-naped Ground-Tyrant,Muscisaxicola rufivertex,rngtyr1,Rufous-naped_Ground-Tyrant,MAYBE,0
Pheucticus_ludovicianus,Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro,Rose-breasted_Grosbeak,,1
Calidris_ptilocnemis,Rock Sandpiper,Calidris ptilocnemis,rocsan,Rock_Sandpiper,,0
Archilochus_colubris,Ruby-throated Hummingbird,Archilochus colubris,rthhum,Ruby-throated_Hummingbird,,1
Charadrius_modestus,Rufous-chested Dotterel,Charadrius modestus,rucdot1,Rufous-chested_Dotterel,,0
Regulus_calendula,Ruby-crowned Kinglet,Regulus calendula,ruckin,Ruby-crowned_Kinglet,,1
Arenaria_interpres,Ruddy Turnstone,Arenaria interpres,rudtur,Ruddy_Turnstone,,0
Selasphorus_rufus,Rufous Hummingbird,Selasphorus rufus,rufhum,Rufous_Hummingbird,,1
Euphagus_carolinus,Rusty Blackbird,Euphagus carolinus,rusbla,Rusty_Blackbird,,0
Antigone_canadensis,Sandhill Crane,Antigone_canadensis,sancra,Sandhill_Crane,,0
Calidris_alba,Sanderling,Calidris alba,sander,Sanderling,,0
Passerculus_sandwichensis,Savannah Sparrow,Passerculus sandwichensis,savspa,Savannah_Sparrow,,0
Muscisaxicola_maculirostris,Spot-billed Ground-Tyrant,Muscisaxicola maculirostris,sbgtyr1,Spot-billed_Ground-Tyrant,MAYBE,0
Piranga_olivacea,Scarlet Tanager,Piranga olivacea,scatan,Scarlet_Tanager,,1
Icterus_parisorum,Scott's Oriole,Icterus parisorum,scoori,Scott's_Oriole,,1
